opinions,dev,test
0,0.000,0.000
1,0.696,0.790
2,0.721,0.697
3,0.669,0.659
4,0.683,0.652
5,0.560,0.637
6,0.579,0.805
7,0.857,0.625
8,,0.668
9,,0.720
10,,0.626
11,0.538,0.252
12,,0.655
13,,0.496
14,,0.761
17,,0.481
